,date,month,year,adjclose,pct_change
1,2012-06-01,6,2012,19.145000457763672,-0.0013041011179331097
2,2012-07-01,7,2012,15.114999771118164,-0.2104988555908477
3,2012-08-01,8,2012,16.325000762939453,0.0800529943859718
4,2012-09-01,9,2012,18.010000228881836,0.10321588895527767
5,2012-10-01,10,2012,16.399999618530273,-0.08939481343091138
6,2012-11-01,11,2012,15.979999542236328,-0.02560976134532278
7,2012-12-01,12,2012,16.5,0.032540705423005356
8,2013-01-01,1,2013,18.184999465942383,0.10212117975408375
9,2013-02-01,2,2013,18.200000762939453,0.0008249269968452211
10,2013-03-01,3,2013,18.864999771118164,0.03653840551110554
11,2013-04-01,4,2013,14.989999771118164,-0.20540684055202196
12,2013-05-01,5,2013,15.039999961853027,0.0033355698130963507
13,2013-06-01,6,2013,13.789999961853027,-0.08311170233846144
14,2013-07-01,7,2013,13.699999809265137,-0.0065264795385682195
15,2013-08-01,8,2013,14.260000228881836,0.04087594360680047
16,2013-09-01,9,2013,13.949999809265137,-0.021739159511991568
17,2013-10-01,10,2013,14.970000267028809,0.07311831338422103
18,2013-11-01,11,2013,17.0,0.13560452216171526
19,2013-12-01,12,2013,17.979999542236328,0.05764703189625453
20,2014-01-01,1,2014,16.920000076293945,-0.058954365568940514
21,2014-02-01,2,2014,17.559999465942383,0.0378250228583108
22,2014-03-01,3,2014,17.68000030517578,0.006833760984226611
23,2014-04-01,4,2014,16.530000686645508,-0.06504522616968589
24,2014-05-01,5,2014,16.920000076293945,0.023593428520757076
25,2014-06-01,6,2014,16.8700008392334,-0.0029550376380079735
26,2014-07-01,7,2014,16.389999389648438,-0.02845295943724291
27,2014-08-01,8,2014,17.329999923706055,0.057352078649331784
28,2014-09-01,9,2014,17.65999984741211,0.019042119166696736
29,2014-10-01,10,2014,18.989999771118164,0.07531143460915435
30,2014-11-01,11,2014,20.260000228881836,0.06687732875569652
31,2014-12-01,12,2014,22.020000457763672,0.0868706914609434
32,2015-01-01,1,2015,19.239999771118164,-0.12624889322676436
33,2015-02-01,2,2015,21.239999771118164,0.10395010518670955
34,2015-03-01,3,2015,20.90999984741211,-0.01553671973927151
35,2015-04-01,4,2015,23.670000076293945,0.13199427302833877
36,2015-05-01,5,2015,23.610000610351562,-0.0025348316750735123
37,2015-06-01,6,2015,22.200000762939453,-0.05972044942658361
38,2015-07-01,7,2015,19.040000915527344,-0.14234233057718604
39,2015-08-01,8,2015,18.610000610351562,-0.02258404855564433
40,2015-09-01,9,2015,16.260000228881836,-0.12627621195039462
41,2015-10-01,10,2015,14.90999984741211,-0.08302585255022243
42,2015-11-01,11,2015,16.440000534057617,0.10261574126783546
43,2015-12-01,12,2015,15.34000015258789,-0.066909996699266
44,2016-01-01,1,2016,13.359999656677246,-0.12907434655902628
45,2016-02-01,2,2016,11.510000228881836,-0.13847301462098405
46,2016-03-01,3,2016,11.829999923706055,0.027801884314584857
47,2016-04-01,4,2016,10.800000190734863,-0.08706675736380876
48,2016-05-01,5,2016,11.979999542236328,0.10925919728351174
49,2016-06-01,6,2016,11.260000228881836,-0.060100111925387334
50,2016-07-01,7,2016,12.3100004196167,0.09325045909338603
51,2016-08-01,8,2016,13.550000190734863,0.10073109088949761
52,2016-09-01,9,2016,13.739999771118164,0.014022109055999765
53,2016-10-01,10,2016,13.510000228881836,-0.01673941383316413
54,2016-11-01,11,2016,13.40999984741211,-0.007401952611069906
55,2016-12-01,12,2016,14.579999923706055,0.08724832882975275
56,2017-01-01,1,2017,14.6899995803833,0.007544558110620825
57,2017-02-01,2,2017,15.449999809265137,0.05173589180334104
58,2017-03-01,3,2017,16.15999984741211,0.04595469559301857
59,2017-04-01,4,2017,16.329999923706055,0.010519806800689313
60,2017-05-01,5,2017,17.610000610351562,0.07838338595380812
61,2017-06-01,6,2017,17.540000915527344,-0.003974996729021796
62,2017-07-01,7,2017,17.31999969482422,-0.012542828347766433
63,2017-08-01,8,2017,17.610000610351562,0.016743702115306958
64,2017-09-01,9,2017,16.860000610351562,-0.04258943634329759
65,2017-10-01,10,2017,17.540000915527344,0.04033216373422199
66,2017-11-01,11,2017,20.239999771118164,0.1539337921699102
67,2017-12-01,12,2017,19.399999618530273,-0.04150198429283303
68,2018-01-01,1,2018,20.110000610351562,0.03659798998877917
69,2018-02-01,2,2018,20.670000076293945,0.027846814964994415
70,2018-03-01,3,2018,21.350000381469727,0.03289793433313348
71,2018-04-01,4,2018,22.100000381469727,0.03512880499294724
72,2018-05-01,5,2018,23.329999923706055,0.05565608692331292
73,2018-06-01,6,2018,25.280000686645508,0.08358340202813386
74,2018-07-01,7,2018,26.420000076293945,0.0450949113403567
75,2018-08-01,8,2018,27.700000762939453,0.04844817119414091
76,2018-09-01,9,2018,26.469999313354492,-0.04440438323852369
77,2018-10-01,10,2018,23.209999084472656,-0.12315830424812735
78,2018-11-01,11,2018,22.809999465942383,-0.01723393512746285
79,2018-12-01,12,2018,22.709999084472656,-0.004384058913242783
80,2019-01-01,1,2019,24.209999084472656,0.06605020081333168
81,2019-02-01,2,2019,25.110000610351562,0.037174785622199114
82,2019-03-01,3,2019,26.1299991607666,0.040621207710944685
83,2019-04-01,4,2019,26.09000015258789,-0.0015307695929347442
84,2019-05-01,5,2019,23.31999969482422,-0.10617096364749978
85,2019-06-01,6,2019,24.729999542236328,0.06046311603190335
86,2019-07-01,7,2019,26.3799991607666,0.06672056809836335
87,2019-08-01,8,2019,24.450000762939453,-0.07316142756734878
88,2019-09-01,9,2019,24.260000228881836,-0.0077709827455553215
