,month,year,records_lost,CHKP_pct_change,PANW_pct_change,FTNT_pct_change,NLOK_pct_change,ZS_pct_change,OKTA_pct_change,TENB_pct_change,MIME_pct_change,CRWD_pct_change,QLYS_pct_change,MCFE_pct_change,RPD_pct_change,CYBR_pct_change,MNDT_pct_change,VRNS_pct_change,SAIL_pct_change,S_pct_change,PING_pct_change,RDWR_pct_change,ATEN_pct_change,TLS_pct_change,OSPN_pct_change,TUFN_pct_change,SCWX_pct_change,VHC_pct_change,pct_change_pos_eq,pct_change_neg
0,1,2009,135000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1,1,2011,387400,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,1,2012,25800000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
3,1,2013,100000,0.0495382166370128,0.034379673707962,0.1222644928095135,0.1567480736579205,,,,,,-0.1142663681367286,,,,,,,,,0.1021211797540837,,,-0.0073528758657283,,,0.1926228157378513,6,2
4,1,2014,25700000,0.0144186093825702,0.0344527492636115,0.1082070932035472,-0.0920266583967012,,,,,,0.2540025433515325,,,,0.673698620550905,,,,,-0.0589543655689405,,,-0.033635217107412,,,-0.0747037584985343,5,4
5,1,2017,4000000,0.16942928858289,0.1800079484805699,0.1042495815009985,0.153201866332115,,,,0.1877095353048641,,0.1342812625141507,,0.0246507961260604,0.1661538763360663,0.1386555147140731,0.1156716907866202,,,,0.0075445581106208,-0.0409146375989304,,0.1135531306997761,,-0.0236071762415326,0.1818181301319053,13,2
6,1,2019,10000000,0.0903068339529382,0.140536237658285,0.0871787500077181,0.1121689923621322,0.2336138755749044,0.2920062898259929,0.2474087264077353,0.1171572554734325,,0.1577468725248998,,0.2894737003188015,0.1837065397721553,0.0906848429196531,0.1168241671529684,0.2154107924753512,,,0.0660502008133316,0.0881410028288744,,0.1266409550175753,,0.3570160393458144,1.1249997104611542,19,0
7,1,2020,255000000,0.0301910463388772,0.0152648595861486,0.0805544988950741,0.1136363512886886,0.206236562421245,0.1099072549476163,0.1373122304357448,0.1763484906136729,0.2249849901947667,0.0284274323990552,,0.0599785894840332,0.1857093288423437,-0.033272905115698,0.076566731270093,0.0631355825014343,,-0.0020575818366401,-0.0116369719324556,-0.0087336412396438,,-0.0292056060449579,-0.1688459489064787,-0.05582234776072,0.0,15,7
8,2,2008,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
9,2,2010,1220000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
10,2,2011,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11,2,2013,460000,0.050199966430664,0.1042268857324535,0.0250106040174469,0.0767110163291335,,,,,,-0.0946565411209064,,,,,,,,,0.0008249269968452,,,0.0209876627515785,,,0.008877505126291,7,1
12,2,2014,146000,0.0304141503054848,0.1968040473135388,0.0919810747837184,0.0032689376767116,,,,,,-0.0645272243417178,,,,0.1733114384999601,,,,,0.0378250228583108,,,0.0682731249271897,,,0.0857461194774475,8,1
13,2,2015,80050000,0.0818971082646404,0.1252472656657928,0.1240803023128485,0.0157449262182376,,,,,,0.2106785435321467,,,0.7499262570678054,0.309375884637963,-0.0630875965931524,,,,0.1039501051867095,-0.0979168027466943,,0.1916279460108556,,,0.3878677761115099,10,2
14,2,2018,3000000,0.0046416759553304,0.0981820515576394,0.096220682386688,-0.0345206494980261,,0.3103565077373587,,0.1297561521452617,,0.1848000488281249,,0.1013344600318189,0.1439463890469532,0.1001326416791346,0.0340699878909709,0.2564256445253847,,,0.0278468149649944,0.0244698283488677,,-0.1631944090311901,,0.0196280552059187,0.1159419554240266,15,2
15,2,2019,503450000,0.0927448628719926,0.1464016193835058,0.1334726558891961,0.0699334540924347,0.0270829316150238,0.0297221513911405,0.126445085311128,0.2850678512501585,,-0.0335144061804003,,0.1455947842132676,0.2507975612018522,-0.0520362025120902,-0.035883466289226,0.0802101918291722,,,0.0371747856221991,0.0279822752971765,,0.4599039763054748,,-0.0318498926617091,0.1941177688855655,15,4
16,2,2020,17100000,-0.0919429160292708,-0.2136468350068521,-0.1152912879801455,-0.3304010964634783,-0.0730967812973329,7.805159389095984e-05,-0.1001834694398652,-0.2241818322627561,-0.023735484683544,-0.0648471856440667,,-0.2202762141423763,-0.2425667352648034,-0.1717772192861359,-0.041118842568163,0.0091669805036891,,-0.0457732210454252,-0.1083202621062369,-0.0146843162830049,,-0.0066185682790035,-0.1997264089706442,-0.1169738876325473,0.476315842601259,3,19
17,2,2021,238240000,-0.1369970274984908,0.0215538062967748,0.1664939972609025,-0.0740388119292578,0.0266900446294753,0.0094204947662608,-0.1733683883625298,-0.0041802206092689,0.0009267699046056,-0.2983317483528508,0.0981431580280611,-0.1218613437945613,-0.0837441383397523,-0.08000001453218,0.0382983786899702,0.0193455011436849,,-0.2166499356500998,-0.0807760453161808,-0.0594159039783445,-0.0560906398025521,0.0017153051479765,-0.3132328143200882,0.0426300683586025,0.1504131931773669,11,13
18,3,2006,200000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
19,3,2007,102637405,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20,3,2008,5200000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
21,3,2010,3300000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22,3,2011,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
23,3,2012,18531024,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
